subject,CRPmean,oddballtype,transition,direction,item_type
4,0.5,E,to,backwards,control
5,0.1,E,to,backwards,control
6,0.166666666666667,E,to,backwards,control
7,0.2,E,to,backwards,control
9,0.111111111111111,E,to,backwards,control
10,0.25,E,to,backwards,control
11,0.14,E,to,backwards,control
12,0.5,E,to,backwards,control
14,0.24,E,to,backwards,control
15,0.7,E,to,backwards,control
16,0.5,E,to,backwards,control
17,0.15,E,to,backwards,control
18,0,E,to,backwards,control
19,0,E,to,backwards,control
20,0.0833333333333333,E,to,backwards,control
21,0.125,E,to,backwards,control
22,0,E,to,backwards,control
23,0.166666666666667,E,to,backwards,control
24,0.166666666666667,E,to,backwards,control
25,0.277777777777778,E,to,backwards,control
26,0.333333333333333,E,to,backwards,control
27,0.3,E,to,backwards,control
28,0.125,E,to,backwards,control
29,0.125,E,to,backwards,control
30,0.625,E,to,backwards,control
31,0.166666666666667,E,to,backwards,control
32,0.266666666666667,E,to,backwards,control
33,0,E,to,backwards,control
34,0.25,E,to,backwards,control
35,0.333333333333333,E,to,backwards,control
36,0.25,E,to,backwards,control
37,0,E,to,backwards,control
38,NaN,E,to,backwards,control
39,0.166666666666667,E,to,backwards,control
40,0.1,E,to,backwards,control
41,0.2,E,to,backwards,control
42,0.166666666666667,E,to,backwards,control
43,0.166666666666667,E,to,backwards,control
44,0.2,E,to,backwards,control
45,0.166666666666667,E,to,backwards,control
46,0.75,E,to,backwards,control
47,0.25,E,to,backwards,control
48,0,E,to,backwards,control
49,0.5,E,to,backwards,control
50,0.166666666666667,E,to,backwards,control
51,0.333333333333333,E,to,backwards,control
52,0.833333333333333,E,to,backwards,control
53,0.333333333333333,E,to,backwards,control
54,0.146666666666667,E,to,backwards,control
55,0.233333333333333,E,to,backwards,control
56,0.166666666666667,E,to,backwards,control
57,0.25,E,to,backwards,control
58,0.5,E,to,backwards,control
59,0.5,E,to,backwards,control
60,0,E,to,backwards,control
61,0.5,E,to,backwards,control
62,0.666666666666667,E,to,backwards,control
63,0.25,E,to,backwards,control
64,0.458333333333333,E,to,backwards,control
65,0.333333333333333,E,to,backwards,control
66,0.375,E,to,backwards,control
67,0.25,E,to,backwards,control
68,0.416666666666667,E,to,backwards,control
69,0.266666666666667,E,to,backwards,control
70,0.361111111111111,E,to,backwards,control
71,1,E,to,backwards,control
72,0.333333333333333,E,to,backwards,control
73,0.333333333333333,E,to,backwards,control
74,0.5,E,to,backwards,control
75,0.375,E,to,backwards,control
4,0.2,E,to,forwards,control
5,0.3,E,to,forwards,control
6,0,E,to,forwards,control
7,0.166666666666667,E,to,forwards,control
9,0.32,E,to,forwards,control
10,0.146666666666667,E,to,forwards,control
11,0.282142857142857,E,to,forwards,control
12,0.345,E,to,forwards,control
14,0.19,E,to,forwards,control
15,0.2,E,to,forwards,control
16,0.333333333333333,E,to,forwards,control
17,0.22,E,to,forwards,control
18,0.833333333333333,E,to,forwards,control
19,0.458333333333333,E,to,forwards,control
20,0.291666666666667,E,to,forwards,control
21,0.246666666666667,E,to,forwards,control
22,0.19047619047619,E,to,forwards,control
23,0.333333333333333,E,to,forwards,control
24,0.2,E,to,forwards,control
25,0.0833333333333333,E,to,forwards,control
26,0.333333333333333,E,to,forwards,control
27,0.25,E,to,forwards,control
28,0.4,E,to,forwards,control
29,0.5,E,to,forwards,control
30,0.166666666666667,E,to,forwards,control
31,0.283333333333333,E,to,forwards,control
32,0.24,E,to,forwards,control
33,0.333333333333333,E,to,forwards,control
34,0.0571428571428571,E,to,forwards,control
35,0.301904761904762,E,to,forwards,control
36,0.41,E,to,forwards,control
37,0.333333333333333,E,to,forwards,control
38,0,E,to,forwards,control
39,0.17,E,to,forwards,control
40,0.0833333333333333,E,to,forwards,control
41,0.3,E,to,forwards,control
42,0.5,E,to,forwards,control
43,0.1,E,to,forwards,control
44,0.3125,E,to,forwards,control
45,0.146666666666667,E,to,forwards,control
46,0.416666666666667,E,to,forwards,control
47,0.266666666666667,E,to,forwards,control
48,0.125,E,to,forwards,control
49,0.166666666666667,E,to,forwards,control
50,0.326666666666667,E,to,forwards,control
51,0.233333333333333,E,to,forwards,control
52,0.425,E,to,forwards,control
53,0.333333333333333,E,to,forwards,control
54,0.233333333333333,E,to,forwards,control
55,0.333333333333333,E,to,forwards,control
56,0.208333333333333,E,to,forwards,control
57,0,E,to,forwards,control
58,0.466666666666667,E,to,forwards,control
59,0,E,to,forwards,control
60,0.75,E,to,forwards,control
61,0.233333333333333,E,to,forwards,control
62,0.3,E,to,forwards,control
63,0.253333333333333,E,to,forwards,control
64,0.1,E,to,forwards,control
65,0.25,E,to,forwards,control
66,0.233333333333333,E,to,forwards,control
67,0.583333333333333,E,to,forwards,control
68,0.0733333333333333,E,to,forwards,control
69,0.166666666666667,E,to,forwards,control
70,0.333333333333333,E,to,forwards,control
71,0.1,E,to,forwards,control
72,0.125,E,to,forwards,control
73,0.266666666666667,E,to,forwards,control
74,0.25,E,to,forwards,control
75,0.35,E,to,forwards,control
4,0.533333333333333,E,from,backwards,control
5,0.333333333333333,E,from,backwards,control
6,0.133333333333333,E,from,backwards,control
7,0.14,E,from,backwards,control
9,0.38,E,from,backwards,control
10,0.183333333333333,E,from,backwards,control
11,0.15,E,from,backwards,control
12,0.5,E,from,backwards,control
14,0.208333333333333,E,from,backwards,control
15,0.27,E,from,backwards,control
16,0.4,E,from,backwards,control
17,0.18,E,from,backwards,control
18,0,E,from,backwards,control
19,0.25,E,from,backwards,control
20,0.383333333333333,E,from,backwards,control
21,0.0666666666666667,E,from,backwards,control
22,0.233333333333333,E,from,backwards,control
23,0.366666666666667,E,from,backwards,control
24,0.1,E,from,backwards,control
25,0.277777777777778,E,from,backwards,control
26,0.333333333333333,E,from,backwards,control
27,0.18,E,from,backwards,control
28,0.166666666666667,E,from,backwards,control
29,0.166666666666667,E,from,backwards,control
30,0.34,E,from,backwards,control
31,0.2,E,from,backwards,control
32,0.416666666666667,E,from,backwards,control
33,0.1,E,from,backwards,control
34,0.196666666666667,E,from,backwards,control
35,0.156666666666667,E,from,backwards,control
36,0.25,E,from,backwards,control
37,0.413333333333333,E,from,backwards,control
38,0,E,from,backwards,control
39,0.5,E,from,backwards,control
40,0.111111111111111,E,from,backwards,control
41,0.158571428571429,E,from,backwards,control
42,0.433333333333333,E,from,backwards,control
43,0.15,E,from,backwards,control
44,0.0833333333333333,E,from,backwards,control
45,0.1,E,from,backwards,control
46,0.0666666666666667,E,from,backwards,control
47,0.533333333333333,E,from,backwards,control
48,0.333333333333333,E,from,backwards,control
49,0.433333333333333,E,from,backwards,control
50,0.183333333333333,E,from,backwards,control
51,0.227142857142857,E,from,backwards,control
52,0.313333333333333,E,from,backwards,control
53,0.05,E,from,backwards,control
54,0.211111111111111,E,from,backwards,control
55,0.5,E,from,backwards,control
56,0.25,E,from,backwards,control
57,0.25,E,from,backwards,control
58,0.2,E,from,backwards,control
59,0,E,from,backwards,control
60,0.2,E,from,backwards,control
61,0.2,E,from,backwards,control
62,0.375,E,from,backwards,control
63,0.3,E,from,backwards,control
64,0.253333333333333,E,from,backwards,control
65,0.5,E,from,backwards,control
66,0.222222222222222,E,from,backwards,control
67,0.259047619047619,E,from,backwards,control
68,0.25,E,from,backwards,control
69,0,E,from,backwards,control
70,0.208333333333333,E,from,backwards,control
71,0.5,E,from,backwards,control
72,0.5,E,from,backwards,control
73,0.0666666666666667,E,from,backwards,control
74,1,E,from,backwards,control
75,0.933333333333333,E,from,backwards,control
4,0.166666666666667,E,from,forwards,control
5,0.666666666666667,E,from,forwards,control
6,0,E,from,forwards,control
7,0.333333333333333,E,from,forwards,control
9,0.3125,E,from,forwards,control
10,0.333333333333333,E,from,forwards,control
11,0.4,E,from,forwards,control
12,0.37,E,from,forwards,control
14,0.416666666666667,E,from,forwards,control
15,0.175,E,from,forwards,control
16,0,E,from,forwards,control
17,0.1,E,from,forwards,control
18,0.3,E,from,forwards,control
19,0.5,E,from,forwards,control
20,0,E,from,forwards,control
21,0.222222222222222,E,from,forwards,control
22,0.4375,E,from,forwards,control
23,0.2,E,from,forwards,control
24,0,E,from,forwards,control
25,0.25,E,from,forwards,control
26,0,E,from,forwards,control
27,0.266666666666667,E,from,forwards,control
28,0,E,from,forwards,control
29,0.6,E,from,forwards,control
30,0.25,E,from,forwards,control
31,0.25,E,from,forwards,control
32,0.555555555555555,E,from,forwards,control
33,0.233333333333333,E,from,forwards,control
34,0.3,E,from,forwards,control
35,0.606666666666667,E,from,forwards,control
36,0.166666666666667,E,from,forwards,control
37,0.233333333333333,E,from,forwards,control
38,0.5,E,from,forwards,control
39,0.25,E,from,forwards,control
40,0.5,E,from,forwards,control
41,0.166666666666667,E,from,forwards,control
42,0.05,E,from,forwards,control
43,0.208333333333333,E,from,forwards,control
44,0.25,E,from,forwards,control
45,0.5,E,from,forwards,control
46,0.375,E,from,forwards,control
47,0.333333333333333,E,from,forwards,control
48,0.0833333333333333,E,from,forwards,control
49,0.24,E,from,forwards,control
50,0.25,E,from,forwards,control
51,0.166666666666667,E,from,forwards,control
52,0.216666666666667,E,from,forwards,control
53,0.166666666666667,E,from,forwards,control
54,0.25,E,from,forwards,control
55,0.166666666666667,E,from,forwards,control
56,0.25,E,from,forwards,control
57,0.4,E,from,forwards,control
58,0.333333333333333,E,from,forwards,control
59,0.5,E,from,forwards,control
60,0.111111111111111,E,from,forwards,control
61,0.333333333333333,E,from,forwards,control
62,0.375,E,from,forwards,control
63,0.1,E,from,forwards,control
64,0.145833333333333,E,from,forwards,control
65,0.0833333333333333,E,from,forwards,control
66,0.222222222222222,E,from,forwards,control
67,0,E,from,forwards,control
68,0.2,E,from,forwards,control
69,0.125,E,from,forwards,control
70,0.333333333333333,E,from,forwards,control
71,0.5,E,from,forwards,control
72,0,E,from,forwards,control
73,0.366666666666667,E,from,forwards,control
74,0,E,from,forwards,control
75,0.25,E,from,forwards,control
4,0.479166666666667,P,to,backwards,control
5,0.166666666666667,P,to,backwards,control
6,0.833333333333333,P,to,backwards,control
7,0.466666666666667,P,to,backwards,control
9,0.0625,P,to,backwards,control
10,0.333333333333333,P,to,backwards,control
11,0,P,to,backwards,control
12,0.333333333333333,P,to,backwards,control
14,0.35,P,to,backwards,control
15,0.5,P,to,backwards,control
16,0.75,P,to,backwards,control
17,0.1,P,to,backwards,control
18,0.0666666666666667,P,to,backwards,control
19,0.458333333333333,P,to,backwards,control
20,0.273333333333333,P,to,backwards,control
21,0.133333333333333,P,to,backwards,control
22,0.19,P,to,backwards,control
23,NaN,P,to,backwards,control
24,0,P,to,backwards,control
25,0.25,P,to,backwards,control
26,0,P,to,backwards,control
27,0,P,to,backwards,control
28,0.2,P,to,backwards,control
29,0.0666666666666667,P,to,backwards,control
30,0.0833333333333333,P,to,backwards,control
31,0.166666666666667,P,to,backwards,control
32,0.5,P,to,backwards,control
33,0.2,P,to,backwards,control
34,0.2,P,to,backwards,control
35,0.228571428571429,P,to,backwards,control
36,0.22,P,to,backwards,control
37,0.383333333333333,P,to,backwards,control
38,0.316666666666667,P,to,backwards,control
39,0.166666666666667,P,to,backwards,control
40,0.0666666666666667,P,to,backwards,control
41,0,P,to,backwards,control
42,0.666666666666667,P,to,backwards,control
43,0.43,P,to,backwards,control
44,0.25,P,to,backwards,control
45,0.166666666666667,P,to,backwards,control
46,0.215,P,to,backwards,control
47,0.5,P,to,backwards,control
48,0.35,P,to,backwards,control
49,0.3,P,to,backwards,control
50,0.583333333333333,P,to,backwards,control
51,0.09,P,to,backwards,control
52,0.111111111111111,P,to,backwards,control
53,0.0625,P,to,backwards,control
54,0.283333333333333,P,to,backwards,control
55,0.3,P,to,backwards,control
56,0.35,P,to,backwards,control
57,1,P,to,backwards,control
58,0,P,to,backwards,control
59,0.666666666666667,P,to,backwards,control
60,0,P,to,backwards,control
61,0.333333333333333,P,to,backwards,control
62,0.385714285714286,P,to,backwards,control
63,0.208333333333333,P,to,backwards,control
64,0.375,P,to,backwards,control
65,0.233333333333333,P,to,backwards,control
66,0.291666666666667,P,to,backwards,control
67,0.25,P,to,backwards,control
68,0,P,to,backwards,control
69,0.333333333333333,P,to,backwards,control
70,0.125,P,to,backwards,control
71,0.25,P,to,backwards,control
72,0.25,P,to,backwards,control
73,0.375,P,to,backwards,control
74,0.5,P,to,backwards,control
75,0.5,P,to,backwards,control
4,0.475,P,to,forwards,control
5,0.29,P,to,forwards,control
6,0.35,P,to,forwards,control
7,0.12,P,to,forwards,control
9,0.316666666666667,P,to,forwards,control
10,0.246666666666667,P,to,forwards,control
11,0.23,P,to,forwards,control
12,0.28,P,to,forwards,control
14,0.15,P,to,forwards,control
15,0,P,to,forwards,control
16,0.125,P,to,forwards,control
17,0.38,P,to,forwards,control
18,0.1,P,to,forwards,control
19,0.333333333333333,P,to,forwards,control
20,0.125,P,to,forwards,control
21,0.23,P,to,forwards,control
22,0.18,P,to,forwards,control
23,0.5,P,to,forwards,control
24,0.25,P,to,forwards,control
25,0.4,P,to,forwards,control
26,0.225714285714286,P,to,forwards,control
27,0.216666666666667,P,to,forwards,control
28,0.358333333333333,P,to,forwards,control
29,0.183333333333333,P,to,forwards,control
30,0.166666666666667,P,to,forwards,control
31,0.2,P,to,forwards,control
32,0.45,P,to,forwards,control
33,0.4,P,to,forwards,control
34,0.28,P,to,forwards,control
35,0.145238095238095,P,to,forwards,control
36,0.266666666666667,P,to,forwards,control
37,0.156666666666667,P,to,forwards,control
38,0.125,P,to,forwards,control
39,0.0833333333333333,P,to,forwards,control
40,0.293333333333333,P,to,forwards,control
41,0.444444444444444,P,to,forwards,control
42,0.326666666666667,P,to,forwards,control
43,0.2,P,to,forwards,control
44,0.1,P,to,forwards,control
45,0.3,P,to,forwards,control
46,0.15,P,to,forwards,control
47,0.458333333333333,P,to,forwards,control
48,0.166666666666667,P,to,forwards,control
49,0.270833333333333,P,to,forwards,control
50,0.3,P,to,forwards,control
51,0.220238095238095,P,to,forwards,control
52,0.166666666666667,P,to,forwards,control
53,0.133333333333333,P,to,forwards,control
54,0.293333333333333,P,to,forwards,control
55,0.316666666666667,P,to,forwards,control
56,0.25,P,to,forwards,control
57,0.3125,P,to,forwards,control
58,0.375,P,to,forwards,control
59,0.05,P,to,forwards,control
60,0.375,P,to,forwards,control
61,0.266666666666667,P,to,forwards,control
62,0.156666666666667,P,to,forwards,control
63,0.08,P,to,forwards,control
64,0.25,P,to,forwards,control
65,0.163333333333333,P,to,forwards,control
66,0.354166666666667,P,to,forwards,control
67,0.29,P,to,forwards,control
68,0.5,P,to,forwards,control
69,0.116666666666667,P,to,forwards,control
70,0.233333333333333,P,to,forwards,control
71,0.2,P,to,forwards,control
72,0.246666666666667,P,to,forwards,control
73,0.25,P,to,forwards,control
74,0.233333333333333,P,to,forwards,control
75,0.333333333333333,P,to,forwards,control
4,0.233333333333333,P,from,backwards,control
5,0.2,P,from,backwards,control
6,0.166666666666667,P,from,backwards,control
7,0.23,P,from,backwards,control
9,0.116666666666667,P,from,backwards,control
10,0.333333333333333,P,from,backwards,control
11,0.316666666666667,P,from,backwards,control
12,0.375,P,from,backwards,control
14,0.233333333333333,P,from,backwards,control
15,0.125,P,from,backwards,control
16,0.25,P,from,backwards,control
17,0.0666666666666667,P,from,backwards,control
18,0.25,P,from,backwards,control
19,0.075,P,from,backwards,control
20,0.416666666666667,P,from,backwards,control
21,0.233333333333333,P,from,backwards,control
22,0.396666666666667,P,from,backwards,control
23,0,P,from,backwards,control
24,0.1,P,from,backwards,control
25,0.216666666666667,P,from,backwards,control
26,0.333333333333333,P,from,backwards,control
27,0.0833333333333333,P,from,backwards,control
28,0.29,P,from,backwards,control
29,0,P,from,backwards,control
30,0.216666666666667,P,from,backwards,control
31,0.233333333333333,P,from,backwards,control
32,0.333333333333333,P,from,backwards,control
33,0.216666666666667,P,from,backwards,control
34,0.166666666666667,P,from,backwards,control
35,0.233333333333333,P,from,backwards,control
36,0.333333333333333,P,from,backwards,control
37,0.173333333333333,P,from,backwards,control
38,0.16,P,from,backwards,control
39,0.27,P,from,backwards,control
40,0.08,P,from,backwards,control
41,0.5,P,from,backwards,control
42,0.146666666666667,P,from,backwards,control
43,0.273333333333333,P,from,backwards,control
44,0.277777777777778,P,from,backwards,control
45,0.433333333333333,P,from,backwards,control
46,0.366666666666667,P,from,backwards,control
47,0.2,P,from,backwards,control
48,0.2,P,from,backwards,control
49,0.333333333333333,P,from,backwards,control
50,0.260714285714286,P,from,backwards,control
51,0.0666666666666667,P,from,backwards,control
52,0.35,P,from,backwards,control
53,0.333333333333333,P,from,backwards,control
54,0.266666666666667,P,from,backwards,control
55,0.23,P,from,backwards,control
56,0.15,P,from,backwards,control
57,0.3,P,from,backwards,control
58,0.375,P,from,backwards,control
59,0.48,P,from,backwards,control
60,0.125,P,from,backwards,control
61,0,P,from,backwards,control
62,0.266666666666667,P,from,backwards,control
63,0.2,P,from,backwards,control
64,0.25,P,from,backwards,control
65,0.166666666666667,P,from,backwards,control
66,0.366666666666667,P,from,backwards,control
67,0.25,P,from,backwards,control
68,0.5,P,from,backwards,control
69,0.220952380952381,P,from,backwards,control
70,0.466666666666667,P,from,backwards,control
71,0.25,P,from,backwards,control
72,0.3,P,from,backwards,control
73,0.266666666666667,P,from,backwards,control
74,0.333333333333333,P,from,backwards,control
75,0.186666666666667,P,from,backwards,control
4,0.4,P,from,forwards,control
5,0.333333333333333,P,from,forwards,control
6,0.875,P,from,forwards,control
7,0.04,P,from,forwards,control
9,0.208333333333333,P,from,forwards,control
10,0.5625,P,from,forwards,control
11,0.25,P,from,forwards,control
12,0.35,P,from,forwards,control
14,0,P,from,forwards,control
15,0.3,P,from,forwards,control
16,0.555555555555555,P,from,forwards,control
17,0.666666666666667,P,from,forwards,control
18,0.333333333333333,P,from,forwards,control
19,0.166666666666667,P,from,forwards,control
20,0.5625,P,from,forwards,control
21,0.416666666666667,P,from,forwards,control
22,0.533333333333333,P,from,forwards,control
23,0,P,from,forwards,control
24,0.2,P,from,forwards,control
25,0.0625,P,from,forwards,control
26,0.0666666666666667,P,from,forwards,control
27,0,P,from,forwards,control
28,0,P,from,forwards,control
29,0.75,P,from,forwards,control
30,0.25,P,from,forwards,control
31,0.2,P,from,forwards,control
32,0.833333333333333,P,from,forwards,control
33,0.166666666666667,P,from,forwards,control
34,0.267857142857143,P,from,forwards,control
35,0.25,P,from,forwards,control
36,0.375,P,from,forwards,control
37,0.25,P,from,forwards,control
38,0.3,P,from,forwards,control
39,0.0833333333333333,P,from,forwards,control
40,0.333333333333333,P,from,forwards,control
41,0.5,P,from,forwards,control
42,0.166666666666667,P,from,forwards,control
43,0.166666666666667,P,from,forwards,control
44,0.444444444444444,P,from,forwards,control
45,0.277777777777778,P,from,forwards,control
46,0.5,P,from,forwards,control
47,0.1,P,from,forwards,control
48,0.4,P,from,forwards,control
49,0.35,P,from,forwards,control
50,0.2,P,from,forwards,control
51,0.5,P,from,forwards,control
52,0,P,from,forwards,control
53,0,P,from,forwards,control
54,0.375,P,from,forwards,control
55,0,P,from,forwards,control
56,0.29047619047619,P,from,forwards,control
57,0.166666666666667,P,from,forwards,control
58,0.111111111111111,P,from,forwards,control
59,0.333333333333333,P,from,forwards,control
60,0.458333333333333,P,from,forwards,control
61,0.5,P,from,forwards,control
62,0.5,P,from,forwards,control
63,0.39,P,from,forwards,control
64,0.133333333333333,P,from,forwards,control
65,0.15,P,from,forwards,control
66,0,P,from,forwards,control
67,0.5,P,from,forwards,control
68,0.5,P,from,forwards,control
69,0,P,from,forwards,control
70,0.1875,P,from,forwards,control
71,0.75,P,from,forwards,control
72,0.333333333333333,P,from,forwards,control
73,0.253333333333333,P,from,forwards,control
74,0.625,P,from,forwards,control
75,0.116666666666667,P,from,forwards,control
4,0.28,E,to,backwards,oddball
5,0.2,E,to,backwards,oddball
6,0.466666666666667,E,to,backwards,oddball
7,0.533333333333333,E,to,backwards,oddball
9,0.269047619047619,E,to,backwards,oddball
10,0.236666666666667,E,to,backwards,oddball
11,0.142857142857143,E,to,backwards,oddball
12,0.263333333333333,E,to,backwards,oddball
14,0.5,E,to,backwards,oddball
