enc_pos,rec_pos,list_type,subject,item
13,,perceptual,4,control
13,,emotional,4,control
12,5,perceptual,4,control
13,4,perceptual,4,control
11,6,perceptual,4,control
13,,perceptual,4,control
7,,perceptual,4,control
7,2,perceptual,4,control
7,2,perceptual,4,control
7,,perceptual,4,control
13,,perceptual,4,control
12,,emotional,4,control
12,6,emotional,4,control
7,2,perceptual,4,control
8,4,perceptual,4,control
12,7,perceptual,4,control
12,,emotional,4,control
13,,perceptual,4,control
11,5,perceptual,4,control
7,,emotional,4,control
13,5,emotional,4,control
12,1,emotional,4,control
11,,emotional,4,control
7,3,perceptual,4,control
8,2,emotional,4,control
13,,perceptual,4,control
12,,emotional,4,control
13,,emotional,4,control
11,,perceptual,4,control
7,6,perceptual,4,control
13,,emotional,4,control
11,,emotional,4,control
13,6,emotional,4,control
13,,emotional,4,control
13,5,emotional,4,control
11,8,emotional,4,control
12,6,emotional,4,control
11,2,emotional,4,control
13,3,perceptual,4,control
13,2,emotional,4,control
7,5,emotional,5,control
11,,perceptual,5,control
13,2,emotional,5,control
12,,perceptual,5,control
11,,emotional,5,control
8,,emotional,5,control
13,,perceptual,5,control
8,,emotional,5,control
13,,emotional,5,control
13,,perceptual,5,control
7,,perceptual,5,control
7,,emotional,5,control
8,,perceptual,5,control
13,4,perceptual,5,control
8,,emotional,5,control
7,,emotional,5,control
13,7,emotional,5,control
7,,emotional,5,control
13,6,emotional,5,control
12,4,perceptual,5,control
7,,perceptual,5,control
11,7,perceptual,5,control
8,,perceptual,5,control
13,,perceptual,5,control
13,,perceptual,5,control
8,,emotional,5,control
13,,emotional,5,control
12,,emotional,5,control
13,8,perceptual,5,control
13,,perceptual,5,control
13,6,perceptual,5,control
13,,emotional,5,control
13,2,emotional,5,control
7,4,emotional,5,control
12,5,perceptual,5,control
13,7,perceptual,5,control
8,9,emotional,5,control
11,,emotional,5,control
12,,perceptual,5,control
11,10,perceptual,5,control
7,,emotional,6,control
13,,emotional,6,control
11,,perceptual,6,control
13,,perceptual,6,control
8,,emotional,6,control
13,3,perceptual,6,control
12,,emotional,6,control
13,,emotional,6,control
12,1,perceptual,6,control
13,,perceptual,6,control
13,2,perceptual,6,control
12,6,emotional,6,control
7,,perceptual,6,control
12,,perceptual,6,control
13,,emotional,6,control
12,,emotional,6,control
12,7,perceptual,6,control
13,,emotional,6,control
12,,emotional,6,control
7,,emotional,6,control
8,,perceptual,6,control
13,,perceptual,6,control
13,2,emotional,6,control
11,6,perceptual,6,control
11,,perceptual,6,control
11,,emotional,6,control
11,,perceptual,6,control
12,,perceptual,6,control
8,,emotional,6,control
7,7,emotional,6,control
12,,emotional,6,control
12,9,perceptual,6,control
13,2,perceptual,6,control
8,4,emotional,6,control
12,2,emotional,6,control
7,5,emotional,6,control
13,3,emotional,6,control
8,2,perceptual,6,control
13,,perceptual,6,control
7,5,perceptual,6,control
12,,perceptual,7,control
8,,emotional,7,control
7,1,perceptual,7,control
8,,emotional,7,control
13,,perceptual,7,control
13,,emotional,7,control
13,1,emotional,7,control
13,,emotional,7,control
12,9,perceptual,7,control
7,,perceptual,7,control
12,8,perceptual,7,control
13,,perceptual,7,control
7,,perceptual,7,control
8,8,emotional,7,control
12,8,perceptual,7,control
8,2,emotional,7,control
13,,emotional,7,control
12,,emotional,7,control
12,4,perceptual,7,control
11,7,emotional,7,control
11,,emotional,7,control
13,,emotional,7,control
7,7,perceptual,7,control
13,1,perceptual,7,control
13,1,emotional,7,control
8,1,perceptual,7,control
7,5,emotional,7,control
7,,emotional,7,control
11,6,perceptual,7,control
8,,emotional,7,control
13,,perceptual,7,control
12,5,perceptual,7,control
7,4,perceptual,7,control
13,,emotional,7,control
13,,emotional,7,control
,,,,control
11,4,emotional,7,control
12,,perceptual,7,control
12,2,perceptual,7,control
13,1,perceptual,7,control
12,10,perceptual,9,control
13,2,perceptual,9,control
8,,perceptual,9,control
7,9,perceptual,9,control
13,,perceptual,9,control
13,,perceptual,9,control
13,4,emotional,9,control
12,2,perceptual,9,control
8,3,perceptual,9,control
12,7,perceptual,9,control
12,,perceptual,9,control
13,6,perceptual,9,control
12,2,emotional,9,control
13,4,emotional,9,control
13,4,emotional,9,control
12,,emotional,9,control
13,,emotional,9,control
13,3,emotional,9,control
7,3,perceptual,9,control
11,7,emotional,9,control
7,2,emotional,9,control
12,1,perceptual,9,control
12,4,emotional,9,control
11,,emotional,9,control
11,,perceptual,9,control
8,,emotional,9,control
13,4,emotional,9,control
7,4,emotional,9,control
11,4,perceptual,9,control
11,8,perceptual,9,control
11,8,emotional,9,control
,,,,control
12,8,emotional,9,control
12,,emotional,9,control
11,4,emotional,9,control
11,,perceptual,9,control
7,6,perceptual,9,control
7,2,emotional,9,control
7,,emotional,9,control
12,,perceptual,9,control
13,,perceptual,10,control
12,2,emotional,10,control
8,,emotional,10,control
12,,emotional,10,control
12,,emotional,10,control
11,4,emotional,10,control
13,2,emotional,10,control
7,5,perceptual,10,control
13,2,emotional,10,control
12,5,emotional,10,control
13,,perceptual,10,control
12,5,perceptual,10,control
13,2,emotional,10,control
11,7,perceptual,10,control
13,8,emotional,10,control
7,,perceptual,10,control
11,9,emotional,10,control
13,,perceptual,10,control
8,,emotional,10,control
7,3,emotional,10,control
7,,emotional,10,control
13,4,perceptual,10,control
7,6,perceptual,10,control
13,,emotional,10,control
7,,perceptual,10,control
12,2,perceptual,10,control
11,,emotional,10,control
12,6,perceptual,10,control
13,6,emotional,10,control
7,,perceptual,10,control
12,,emotional,10,control
13,7,perceptual,10,control
7,,emotional,10,control
13,,perceptual,10,control
11,,perceptual,10,control
7,,emotional,10,control
12,,perceptual,10,control
8,,perceptual,10,control
11,,perceptual,10,control
7,,perceptual,10,control
12,6,emotional,11,control
11,,perceptual,11,control
13,,emotional,11,control
12,3,perceptual,11,control
13,5,perceptual,11,control
12,1,perceptual,11,control
7,,perceptual,11,control
13,5,perceptual,11,control
11,,perceptual,11,control
11,,perceptual,11,control
12,,emotional,11,control
12,,perceptual,11,control
13,5,perceptual,11,control
7,3,emotional,11,control
11,,perceptual,11,control
12,8,perceptual,11,control
12,3,emotional,11,control
8,6,perceptual,11,control
11,,emotional,11,control
12,13,emotional,11,control
7,7,emotional,11,control
13,7,perceptual,11,control
7,7,emotional,11,control
8,9,emotional,11,control
7,5,perceptual,11,control
7,10,emotional,11,control
13,5,emotional,11,control
11,10,perceptual,11,control
11,11,emotional,11,control
7,,emotional,11,control
12,,perceptual,11,control
13,,emotional,11,control
7,,emotional,11,control
7,12,emotional,11,control
12,8,emotional,11,control
12,6,emotional,11,control
12,5,perceptual,11,control
7,,emotional,11,control
7,,perceptual,11,control
12,6,perceptual,11,control
13,,perceptual,12,control
8,,perceptual,12,control
13,6,perceptual,12,control
8,6,perceptual,12,control
8,,emotional,12,control
7,,emotional,12,control
7,6,perceptual,12,control
13,,perceptual,12,control
8,3,perceptual,12,control
11,4,perceptual,12,control
8,,emotional,12,control
13,10,emotional,12,control
7,7,perceptual,12,control
7,,perceptual,12,control
13,7,perceptual,12,control
7,3,emotional,12,control
12,2,perceptual,12,control
11,7,emotional,12,control
8,,emotional,12,control
13,9,perceptual,12,control
13,8,emotional,12,control
7,6,emotional,12,control
13,,emotional,12,control
13,7,perceptual,12,control
13,,emotional,12,control
13,,emotional,12,control
7,5,emotional,12,control
7,5,emotional,12,control
13,7,emotional,12,control
11,4,perceptual,12,control
8,5,emotional,12,control
13,,perceptual,12,control
8,5,emotional,12,control
13,10,emotional,12,control
7,,perceptual,12,control
13,,perceptual,12,control
8,,perceptual,12,control
7,,perceptual,12,control
13,2,emotional,12,control
8,2,emotional,12,control
13,5,emotional,14,control
8,3,emotional,14,control
12,10,emotional,14,control
13,,emotional,14,control
13,1,perceptual,14,control
13,,emotional,14,control
8,,perceptual,14,control
13,2,perceptual,14,control
11,,emotional,14,control
11,8,perceptual,14,control
12,10,perceptual,14,control
13,1,emotional,14,control
12,11,perceptual,14,control
13,,emotional,14,control
8,10,emotional,14,control
7,,emotional,14,control
8,,perceptual,14,control
13,7,emotional,14,control
7,5,emotional,14,control
7,,emotional,14,control
7,7,emotional,14,control
12,,emotional,14,control
8,,perceptual,14,control
13,,perceptual,14,control
7,9,emotional,14,control
13,,perceptual,14,control
8,,emotional,14,control
13,4,perceptual,14,control
11,1,perceptual,14,control
13,9,emotional,14,control
12,1,perceptual,14,control
11,,perceptual,14,control
13,3,perceptual,14,control
12,9,perceptual,14,control
13,,perceptual,14,control
12,,emotional,14,control
13,10,perceptual,14,control
11,,emotional,14,control
8,5,perceptual,14,control
12,,perceptual,14,control
7,,perceptual,15,control
13,7,perceptual,15,control
13,,emotional,15,control
7,2,perceptual,15,control
8,,emotional,15,control
13,2,emotional,15,control
13,,perceptual,15,control
11,6,emotional,15,control
12,,perceptual,15,control
7,6,emotional,15,control
7,7,emotional,15,control
8,4,perceptual,15,control
12,5,perceptual,15,control
12,,emotional,15,control
8,,perceptual,15,control
7,3,emotional,15,control
13,,emotional,15,control
7,,perceptual,15,control
7,,emotional,15,control
13,3,emotional,15,control
7,,perceptual,15,control
12,5,emotional,15,control
13,6,perceptual,15,control
11,5,perceptual,15,control
8,8,emotional,15,control
13,,emotional,15,control
7,,perceptual,15,control
7,3,perceptual,15,control
13,,perceptual,15,control
13,1,emotional,15,control
7,3,perceptual,15,control
12,,emotional,15,control
13,4,perceptual,15,control
13,,perceptual,15,control
12,,emotional,15,control
7,6,perceptual,15,control
13,2,emotional,15,control
11,,emotional,15,control
13,7,emotional,15,control
13,,perceptual,15,control
13,,emotional,16,control
13,5,perceptual,16,control
7,,emotional,16,control
13,2,emotional,16,control
7,,emotional,16,control
8,,emotional,16,control
,,,,control
13,7,emotional,16,control
12,,emotional,16,control
11,,emotional,16,control
7,,perceptual,16,control
7,5,emotional,16,control
12,,perceptual,16,control
11,,emotional,16,control
12,5,perceptual,16,control
13,4,perceptual,16,control
12,5,perceptual,16,control
12,,emotional,16,control
12,,perceptual,16,control
13,,perceptual,16,control
7,5,perceptual,16,control
13,,perceptual,16,control
12,,emotional,16,control
12,2,emotional,16,control
13,,perceptual,16,control
12,5,emotional,16,control
13,7,perceptual,16,control
12,,perceptual,16,control
13,,perceptual,16,control
11,,emotional,16,control
8,,emotional,16,control
12,,emotional,16,control
13,3,perceptual,16,control
8,,perceptual,16,control
13,,perceptual,16,control
8,,emotional,16,control
12,4,perceptual,16,control
13,1,emotional,16,control
7,,emotional,16,control
13,9,perceptual,16,control
7,,perceptual,17,control
7,8,perceptual,17,control
12,,emotional,17,control
7,6,perceptual,17,control
8,,emotional,17,control
7,4,emotional,17,control
13,,perceptual,17,control
13,2,emotional,17,control
8,5,perceptual,17,control
8,4,emotional,17,control
7,,emotional,17,control
7,,emotional,17,control
12,,perceptual,17,control
12,4,perceptual,17,control
13,,emotional,17,control
7,,perceptual,17,control
12,,emotional,17,control
12,9,perceptual,17,control
13,,perceptual,17,control
11,,emotional,17,control
8,,perceptual,17,control
7,3,emotional,17,control
7,,emotional,17,control
12,,emotional,17,control
12,,perceptual,17,control
13,,emotional,17,control
13,4,perceptual,17,control
7,9,emotional,17,control
13,,emotional,17,control
11,,emotional,17,control
8,,perceptual,17,control
7,,perceptual,17,control
8,9,perceptual,17,control
8,9,perceptual,17,control
8,7,perceptual,17,control
12,13,emotional,17,control
8,1,emotional,17,control
13,6,emotional,17,control
7,,perceptual,17,control
7,,perceptual,17,control
7,,perceptual,18,control
8,,perceptual,18,control
13,,emotional,18,control
8,,perceptual,18,control
13,6,perceptual,18,control
13,4,perceptual,18,control
8,,emotional,18,control
7,,emotional,18,control
13,11,perceptual,18,control
12,5,emotional,18,control
8,,emotional,18,control
13,3,emotional,18,control
11,,perceptual,18,control
13,10,perceptual,18,control
13,6,perceptual,18,control
13,,perceptual,18,control
13,,emotional,18,control
13,,perceptual,18,control
7,,perceptual,18,control
8,,emotional,18,control
7,2,emotional,18,control
13,,emotional,18,control
7,,perceptual,18,control
13,1,emotional,18,control
8,,perceptual,18,control
8,,emotional,18,control
13,,perceptual,18,control
11,,emotional,18,control
13,,emotional,18,control
8,,emotional,18,control
7,,perceptual,18,control
12,,emotional,18,control
7,,perceptual,18,control
13,,emotional,18,control
7,9,perceptual,18,control
12,,emotional,18,control
7,6,emotional,18,control
13,,emotional,18,control
8,4,perceptual,18,control
13,,perceptual,18,control
13,,emotional,19,control
12,,emotional,19,control
13,,emotional,19,control
7,1,perceptual,19,control
13,,emotional,19,control
11,,perceptual,19,control
12,4,emotional,19,control
12,,perceptual,19,control
11,3,perceptual,19,control
12,,emotional,19,control
13,,perceptual,19,control
7,7,perceptual,19,control
7,7,perceptual,19,control
13,,emotional,19,control
12,1,perceptual,19,control
11,,emotional,19,control
13,,emotional,19,control
7,,emotional,19,control
7,,perceptual,19,control
8,,emotional,19,control
8,5,perceptual,19,control
11,1,perceptual,19,control
11,4,emotional,19,control
12,5,perceptual,19,control
13,9,emotional,19,control
13,,perceptual,19,control
13,,emotional,19,control
11,2,perceptual,19,control
12,,perceptual,19,control
13,7,emotional,19,control
12,2,perceptual,19,control
11,,emotional,19,control
8,,emotional,19,control
8,,perceptual,19,control
12,4,perceptual,19,control
13,7,emotional,19,control
12,,emotional,19,control
12,,emotional,19,control
7,2,perceptual,19,control
13,,perceptual,19,control
8,1,perceptual,20,control
8,,perceptual,20,control
13,4,perceptual,20,control
7,9,perceptual,20,control
13,2,emotional,20,control
12,,emotional,20,control
8,,emotional,20,control
8,5,perceptual,20,control
11,4,emotional,20,control
8,7,perceptual,20,control
11,,perceptual,20,control
11,,emotional,20,control
13,1,emotional,20,control
8,5,perceptual,20,control
13,,perceptual,20,control
13,7,emotional,20,control
8,,perceptual,20,control
12,,perceptual,20,control
8,,perceptual,20,control
8,1,emotional,20,control
11,6,emotional,20,control
11,7,emotional,20,control
13,,emotional,20,control
8,,perceptual,20,control
7,,perceptual,20,control
11,2,emotional,20,control
7,,emotional,20,control
7,8,perceptual,20,control
13,3,perceptual,20,control
12,,perceptual,20,control
7,,emotional,20,control
12,3,emotional,20,control
11,5,perceptual,20,control
7,,emotional,20,control
12,,perceptual,20,control
7,,emotional,20,control
7,,emotional,20,control
7,5,perceptual,20,control
7,4,emotional,20,control
12,4,emotional,20,control
13,4,perceptual,21,control
7,,perceptual,21,control
7,,emotional,21,control
11,9,emotional,21,control
12,,perceptual,21,control
12,,perceptual,21,control
8,,emotional,21,control
11,5,emotional,21,control
11,8,perceptual,21,control
8,,emotional,21,control
13,,perceptual,21,control
8,,emotional,21,control
11,,perceptual,21,control
13,1,emotional,21,control
13,,emotional,21,control
13,,emotional,21,control
12,,perceptual,21,control
11,1,perceptual,21,control
8,,perceptual,21,control
13,5,emotional,21,control
11,,perceptual,21,control
7,5,perceptual,21,control
7,4,emotional,21,control
12,9,perceptual,21,control
8,7,emotional,21,control
7,9,perceptual,21,control
7,,emotional,21,control
12,,emotional,21,control
13,3,emotional,21,control
7,8,emotional,21,control
13,4,emotional,21,control
12,2,emotional,21,control
12,7,perceptual,21,control
13,3,perceptual,21,control
7,2,perceptual,21,control
7,,emotional,21,control
13,,perceptual,21,control
12,2,perceptual,21,control
7,7,perceptual,21,control
13,,emotional,21,control
13,5,emotional,22,control
13,3,emotional,22,control
12,9,emotional,22,control
12,5,perceptual,22,control
12,5,emotional,22,control
12,2,perceptual,22,control
8,,emotional,22,control
7,10,perceptual,22,control
13,,emotional,22,control
8,,emotional,22,control
13,,perceptual,22,control
13,4,perceptual,22,control
13,,emotional,22,control
7,9,perceptual,22,control
13,7,perceptual,22,control
12,5,emotional,22,control
8,9,emotional,22,control
12,4,perceptual,22,control
12,11,perceptual,22,control
13,,perceptual,22,control
13,6,emotional,22,control
7,,emotional,22,control
8,,perceptual,22,control
12,10,perceptual,22,control
7,6,perceptual,22,control
12,6,emotional,22,control
8,8,emotional,22,control
12,10,perceptual,22,control
12,,perceptual,22,control
8,,perceptual,22,control
13,8,emotional,22,control
12,10,emotional,22,control
13,,emotional,22,control
13,,emotional,22,control
13,9,perceptual,22,control
7,6,emotional,22,control
13,,perceptual,22,control
7,6,perceptual,22,control
13,8,perceptual,22,control
12,4,emotional,22,control
13,4,emotional,23,control
11,5,emotional,23,control
13,,emotional,23,control
13,3,perceptual,23,control
7,7,emotional,23,control
7,,perceptual,23,control
11,6,emotional,23,control
13,9,perceptual,23,control
13,3,perceptual,23,control
13,,perceptual,23,control
12,,emotional,23,control
11,2,emotional,23,control
7,,emotional,23,control
12,7,emotional,23,control
11,14,emotional,23,control
7,,perceptual,23,control
8,,emotional,23,control
13,,emotional,23,control
7,,emotional,23,control
7,,perceptual,23,control
13,,perceptual,23,control
12,,emotional,23,control
13,,emotional,23,control
12,,perceptual,23,control
12,,emotional,23,control
12,,perceptual,23,control
12,,emotional,23,control
13,,perceptual,23,control
12,,perceptual,23,control
11,,emotional,23,control
13,,perceptual,23,control
13,,perceptual,23,control
13,,perceptual,23,control
8,,perceptual,23,control
13,,perceptual,23,control
11,,perceptual,23,control
13,,perceptual,23,control
8,,emotional,23,control
13,,perceptual,23,control
13,,emotional,23,control
13,7,perceptual,24,control
11,3,emotional,24,control
7,4,perceptual,24,control
8,,emotional,24,control
7,,perceptual,24,control
12,7,emotional,24,control
12,2,emotional,24,control
7,9,emotional,24,control
11,,emotional,24,control
12,,emotional,24,control
8,,perceptual,24,control
7,,perceptual,24,control
7,7,emotional,24,control
13,1,perceptual,24,control
13,,perceptual,24,control
13,1,perceptual,24,control
7,,emotional,24,control
7,,emotional,24,control
13,7,perceptual,24,control
11,1,emotional,24,control
12,,emotional,24,control
7,6,perceptual,24,control
7,,emotional,24,control
12,,emotional,24,control
13,,emotional,24,control
7,,emotional,24,control
7,1,perceptual,24,control
11,,perceptual,24,control
12,,perceptual,24,control
11,1,perceptual,24,control
7,,perceptual,24,control
7,10,perceptual,24,control
7,,emotional,24,control
13,,perceptual,24,control
13,,perceptual,24,control
7,,perceptual,24,control
7,,emotional,24,control
13,,emotional,24,control
8,,emotional,24,control
7,,perceptual,24,control
7,,perceptual,25,control
13,,perceptual,25,control
7,,perceptual,25,control
12,,emotional,25,control
12,,emotional,25,control
11,5,perceptual,25,control
7,,perceptual,25,control
8,1,emotional,25,control
13,,emotional,25,control
13,3,emotional,25,control
12,,perceptual,25,control
7,5,emotional,25,control
7,10,perceptual,25,control
7,,emotional,25,control
11,5,perceptual,25,control
13,1,emotional,25,control
12,,emotional,25,control
7,4,emotional,25,control
13,,emotional,25,control
13,,perceptual,25,control
12,1,perceptual,25,control
7,6,emotional,25,control
13,,emotional,25,control
13,3,perceptual,25,control
13,,perceptual,25,control
13,,emotional,25,control
,,,,control
12,7,emotional,25,control
7,,emotional,25,control
13,,emotional,25,control
11,3,perceptual,25,control
13,,emotional,25,control
12,5,emotional,25,control
12,,perceptual,25,control
13,6,perceptual,25,control
13,2,perceptual,25,control
12,5,emotional,25,control
11,,perceptual,25,control
8,,perceptual,25,control
7,3,perceptual,25,control
13,,emotional,26,control
11,,emotional,26,control
12,,emotional,26,control
7,,emotional,26,control
13,7,emotional,26,control
12,,emotional,26,control
8,4,perceptual,26,control
8,3,emotional,26,control
8,8,perceptual,26,control
7,,perceptual,26,control
11,10,perceptual,26,control
13,,perceptual,26,control
8,2,perceptual,26,control
8,,emotional,26,control
13,5,emotional,26,control
12,7,emotional,26,control
7,1,perceptual,26,control
13,4,perceptual,26,control
13,,emotional,26,control
7,,perceptual,26,control
12,3,emotional,26,control
13,,emotional,26,control
13,,perceptual,26,control
13,3,emotional,26,control
13,1,emotional,26,control
12,,emotional,26,control
7,,perceptual,26,control
13,,emotional,26,control
12,6,perceptual,26,control
13,4,perceptual,26,control
11,3,perceptual,26,control
13,4,perceptual,26,control
12,,emotional,26,control
11,6,perceptual,26,control
7,,emotional,26,control
11,,perceptual,26,control
13,,perceptual,26,control
7,9,perceptual,26,control
12,,perceptual,26,control
7,,emotional,26,control
13,,perceptual,27,control
11,5,emotional,27,control
13,,perceptual,27,control
8,2,emotional,27,control
12,7,perceptual,27,control
8,,perceptual,27,control
13,,perceptual,27,control
8,,perceptual,27,control
7,4,emotional,27,control
13,,emotional,27,control
13,,emotional,27,control
12,8,emotional,27,control
7,11,emotional,27,control
12,7,emotional,27,control
7,,emotional,27,control
11,,perceptual,27,control
7,,emotional,27,control
13,3,perceptual,27,control
13,,emotional,27,control
12,2,emotional,27,control
8,6,emotional,27,control
12,10,perceptual,27,control
13,,perceptual,27,control
12,,perceptual,27,control
8,3,perceptual,27,control
12,,emotional,27,control
13,,emotional,27,control
13,11,perceptual,27,control
7,1,emotional,27,control
7,,emotional,27,control
13,4,perceptual,27,control
7,,emotional,27,control
13,11,perceptual,27,control
11,,perceptual,27,control
11,,perceptual,27,control
13,,emotional,27,control
13,,perceptual,27,control
12,,emotional,27,control
11,,perceptual,27,control
11,,perceptual,27,control
7,,emotional,28,control
13,6,perceptual,28,control
12,3,perceptual,28,control
7,,emotional,28,control
12,,emotional,28,control
11,6,emotional,28,control
11,,emotional,28,control
8,5,perceptual,28,control
7,,emotional,28,control
12,,perceptual,28,control
13,5,perceptual,28,control
11,4,emotional,28,control
13,,emotional,28,control
13,,perceptual,28,control
12,6,perceptual,28,control
13,2,perceptual,28,control
12,,emotional,28,control
11,6,perceptual,28,control
12,7,emotional,28,control
7,7,emotional,28,control
12,4,perceptual,28,control
7,,emotional,28,control
13,2,emotional,28,control
13,2,perceptual,28,control
13,,emotional,28,control
13,4,emotional,28,control
12,,perceptual,28,control
13,8,emotional,28,control
7,,perceptual,28,control
13,2,emotional,28,control
8,2,perceptual,28,control
12,4,perceptual,28,control
13,,perceptual,28,control
7,,perceptual,28,control
12,1,emotional,28,control
13,1,perceptual,28,control
13,4,emotional,28,control
8,,perceptual,28,control
7,6,perceptual,28,control
12,,emotional,28,control
7,,emotional,29,control
12,,emotional,29,control
12,,perceptual,29,control
11,,emotional,29,control
13,,perceptual,29,control
8,5,perceptual,29,control
13,6,emotional,29,control
7,,perceptual,29,control
7,4,perceptual,29,control
13,,perceptual,29,control
11,10,perceptual,29,control
13,4,perceptual,29,control
12,,emotional,29,control
7,6,emotional,29,control
7,,emotional,29,control
13,,emotional,29,control
