word,mean,sd
abogado,1,3.295
abrigo,1.8,2.484
academia,2,2.619
acompanante,2.333,1.759
actor,2.6,1.724
aerobic,1.6,2.898
aeropuerto,1.8,2.883
aficion,2.2,2.808
agua,4.067,2.086
ahogado,-5.4,1.549
aire,3.867,1.959
alcalde,-0.067,2.712
alcoba,1.2,2.704
alimento,3.267,2.251
almacen,0.733,2.344
almohada,3.333,2.16
almuerzo,2.6,1.993
alpinista,1.333,2.093
altillo,1.533,1.685
altura,1.867,2.615
amanecer,4.067,1.751
ambiente,3.133,2.031
amputacion,-5.8,0.414
andamio,-0.067,2.404
anillo,1.467,2.997
animal,2.533,2.2
aniversario,3.733,1.981
anochecer,3.533,1.995
anochoa,1.933,2.576
anuncio,-0.2,2.426
apartamento,2.267,2.314
aprendiz,2.333,2.289
arbol,3.667,1.915
ardilla,2.467,2.356
armario,0.4,1.549
arroyo,2.933,2.219
arroz,2.6,2.324
articulacion,0.667,1.839
articulo,1.667,2.059
asador,1.933,3.058
asamblea,1.8,2.569
asesino,-5.667,0.9
asfixia,-5,2.138
asociacion,1.733,1.751
atleta,2.667,2.024
atmosfera,3.733,2.154
atun,2.533,2.642
aula,1.667,2.845
autobus,0.933,2.187
autor,2.267,2.314
avenida,1.6,1.682
avion,2.867,2.167
bacalao,2.333,2.498
bajada,1.067,1.87
bajada_w2,0.533,1.995
bajo,0.667,1.718
balcon,2.933,1.624
bano,2.667,2.38
banquero,-1.467,3.292
barco,3,2.535
baul,2.133,2.295
bebe,2.8,2.426
biberon,1.8,2.305
bicicleta,3,2.236
biografia,0.8,1.781
boca,2.333,1.915
bocata,3.067,2.604
boda,2,2.726
bosque,4.067,2.344
bote,0.667,1.589
branquias,0.467,2.503
brasero,1.8,2.513
brazo,1.333,2.093
brinco,1.067,2.52
brisa,4.267,1.792
bucal,-0.4,1.92
buffet,3.8,2.242
cabana,3,2.236
cabeza,1.933,1.981
cadera,1.4,1.595
cafetera,2.867,2.416
caja,1.067,1.668
cajon,0.733,1.387
calefaccion,3.133,1.959
calentador,1.6,1.805
calle,1.2,1.74
cama,3.4,2.063
caminata,1.733,2.987
camino,2.733,2.374
camion,0.2,2.731
campanario,1.267,2.712
campo,3.533,2.134
canal,2.2,2.111
canario,1.333,2.92
cancer,-5.667,0.816
cancion,3.2,2.145
cantante,2.6,1.957
capilla,-2.2,2.111
capitulo,2.067,2.052
carbon,-1.667,2.41
carpintero,2.2,2.077
carrera,2.4,1.957
casa,3.4,2.444
casillero,-0.133,1.407
catedral,2.133,1.727
cauce,2.6,1.882
cebada,2,2.478
ceguera,-4.6,1.682
cena,3.333,1.988
cepillo,1.733,1.751
cerebro,3.2,2.396
cereles,2.133,1.922
ceremonia,1.6,2.444
chalet,3.4,2.028
chicle,-0.333,3.039
chico,1.267,2.12
chimenea,3.533,1.922
chispa,1.467,3.044
chofer,1.467,2.264
ciclista,2,1.813
cima,3.667,1.877
cincel,0.6,1.882
cine,3.733,1.944
clavo,-0.267,2.987
clero,-2.267,2.282
coche,1.467,2.031
cocina,2.867,1.922
cocinero,2.933,1.87
codo,0.467,2.031
cojin,2.8,2.077
colchon,2.6,2.197
colega,3.533,1.922
colegio,2.8,2.145
coliseo,2.067,2.89
columna,1,1.927
comida,4,2
companero,3.333,1.877
compromiso,2.733,2.463
comunicaci—n,3,2.928
comunidad,3.267,1.981
comunion,-2,2.563
concentracion,1.4,2.165
concepcion,0.867,2.997
concierto,3.667,2.059
concurrencia,1,1.69
conductor,1.533,1.685
congregacion,0.333,2.582
congreso,0.6,2.23
conjeo,2.533,2.326
conocimiento,4.733,1.668
consenso,2.667,2.127
consigna,0.6,1.882
contable,1,2.507
contacto,3.533,1.959
contenedor,-0.8,2.042
continuacion,1,2.33
contrato,0.733,2.939
convento,-1.467,3.021
coral,3.6,2.165
coro,1.467,2.134
corredor,1.933,2.154
correo,1.667,2.193
cortina,1.067,1.387
cosecha,3.4,2.063
costa,3.6,1.957
craneo,1.067,2.251
creatividad,5.067,0.884
crecimiento,4.067,2.12
criatura,2.867,1.885
crimen,-4.533,1.885
crio,0.333,2.92
cuento,2,2.42
cuerpo,2.733,2.549
cultivo,3.067,2.282
cultura,3.667,2.024
cumplimiento,0.333,2.69
cuna,2.333,2.32
cuna_v2,1.067,2.154
dama,1.667,2.895
decibel,-0.667,2.257
decision,2.333,1.988
declaracion,0.067,2.685
dedo,1.667,1.952
defensa,1.067,2.52
dentista,-0.533,2.774
deporte,3.933,1.624
deposito,-0.133,2.8
desayuno,3.067,2.463
descnaso,4.467,1.642
despensa,2.933,2.187
destello,2,2.777
destinatario,1.067,2.685
dia,3.667,2.257
dialogo,2.6,2.293
diente,0.733,2.017
dios,-0.467,3.357
diploma,2.2,2.808
dirigente,-0.8,2.651
domicilio,1.467,2.475
dormitar,2.4,2.098
dormitorio,3,2.035
eclipse,3.4,1.957
eco,2.933,2.154
edificio,1.533,1.885
editor,0.667,2.61
editorial,0.667,2.093
educacion,4.533,1.959
ejercicio,2.867,2.1
embarazo,1.867,2.997
emissor,0.067,2.344
emperador,-1.067,3.936
empleo,2.2,2.541
encabezado,0.467,1.885
encuentro,2.667,2.469
energia,4.533,1.598
entonacion,1.133,2.696
entrega,0.8,2.455
entrenador,2.333,1.877
envase,0.667,1.988
escena,1.933,1.981
escritor,2.267,1.944
escuela,3.4,2.72
esmalte,0.8,2.455
esplendor,3.467,1.767
esposa,1.533,3.335
esquiador,1.133,2.1
estacion,2.4,2.414
estadio,1.2,2.597
estanque,2.467,2.326
estrella,4.2,1.699
estrofa,2.133,1.922
estudiante,3.267,1.792
estufa,2.4,2.558
evolucion,4,1.69
extranjero,1.933,2.052
extremidad,0.733,2.576
familia,4.4,2.165
fe,-0.667,3.039
ferri,1.867,2.264
fertilizante,1.8,2.597
festival,3.533,2.8
ficcion,2.4,2.165
filosofia,2.067,2.658
fisico,3.267,2.344
fluoruro,0,1.414
fotografia,3.667,1.952
frio,0.133,3.292
fuente,2.067,2.154
futbol,0.6,3.066
gafas,1,2.035
gas,-0.733,3.348
gato,3,2.563
gente,2.267,2.187
gestarse,2,2.478
gimnasio,2.2,1.971
glacial,1.333,3.016
gobernador,-1.2,2.242
gorro,1.533,1.506
granjero,2.333,2.225
gravilla,-1,1.558
grupo,2.467,1.767
habitacion,2.733,2.463
habitante,2.2,2.111
hamaca,3.933,1.87
hambruna,-4.667,2.35
hamster,0.933,2.712
harina,1.4,2.558
herramienta,2.133,2.475
hielo,0.667,2.554
hierro,1.667,2.41
hijo,2.667,2.225
hilo,0.333,2.38
hincha,-0.867,3.292
historia,3.667,2.289
hombre,0.8,1.32
hombro,1.667,1.877
horno,1.8,2.396
humanidad,3.133,2.8
huron ,0.467,3.091
idioma,3.533,2.134
imaginacion,3.867,2.031
importacion,1.2,2.274
imprenta,2.267,2.251
incisivo,0.067,1.624
individuo,0.867,2.1
ingeniero,3.6,2.947
ingenio,4.533,1.642
inhalacion,0.667,2.526
inmigracion,-0.533,2.56
inquilino,0.133,2.973
instrucci—n,0.333,1.877
inteligencia,4.667,2.059
intercambio,2.733,2.764
invierno,1.333,2.717
invitacion,2.667,2.35
invitados,3,1.964
jardinero,1.867,1.846
jefe,-1,2.619
juego,2.533,2.2
jugador,1.4,2.23
lago,3.267,1.907
lancha,1.933,2.219
leccion,0.933,3.494
legislacion,0.267,2.658
ley,0.6,2.473
leyenda,1.267,2.84
libro,3.467,1.995
lider,1.533,2.588
loro,1.933,2.865
lugareno,2.467,2.232
luminoso,4.133,1.457
luna,4.067,2.219
lupa,1.667,2.41
luz,4.2,1.935
madera,3.067,1.907
madre,4.067,2.404
maestro,3.6,1.993
maiz ,2.467,2.167
maizal,2.333,2.225
mandibula,0.533,1.995
mano,2.4,1.844
mansion,3.6,2.197
manta,3.4,1.882
mantenimiento,0.4,1.502
mar,3.867,2.167
marido,1.533,3.378
marques,-2.467,2.85
martillo,1.133,2.066
masacre,-5.6,1.056
mascota,3,3.047
matrimonio,1.4,2.849
matrona,2.133,1.727
meditacion,2.867,2.1
mediterraneo,4.067,1.944
mensaje,2.067,1.944
mente,3.2,2.396
merienda,3.133,2.066
metal,1.6,2.028
metro,1.267,1.87
ministro,-1.467,2.031
mirada,3.467,1.995
molar,-0.067,2.492
monarquia,-3.6,2.64
monasterio,0.867,2.774
monticulo,0.933,1.438
morgue,-4.067,2.915
motana,3.467,2.1
moto,1.067,2.685
movimiento,2.6,2.473
mujer,3.2,2.305
muneca,1,2.138
murmullo,-0.267,2.12
muslo,1.667,1.676
nacimiento,4.2,1.656
nacion,-0.733,3.432
nacionalidad,0.133,1.885
nadador,2.333,2.193
nariz,1.4,1.844
natal,1.467,1.922
naturaleza,4.467,2.416
nazi,-5.4,1.595
nervio,-0.067,2.658
neurona,3.267,2.086
nevera,2.4,2.098
nieve,2.8,2.21
nino,2.733,2.052
noble,-2,3.047
noche,3.133,2.475
norma,0,1.927
noticia,1.667,1.759
novela,2.4,2.354
novia,2.533,2.416
nudillo,0.6,1.724
nupcias,1.133,2.386
observador,3.333,2.024
ocaso,3.4,2.063
oceano,3.467,3.137
ocupacion,1.867,2.615
oido,1.933,2.187
ojeada,1.4,1.454
ojo,2.733,1.981
ola,3.6,2.261
optica,1.6,2.874
oral,1.467,1.552
originario,0.667,2.16
orilla,3.6,2.324
oxigeno,4,2.204
padre,2.733,3.15
padrino,1.933,2.017
paisaje,4.133,1.598
pala,-0.067,1.534
paladar,1.067,1.907
palma,1.733,2.086
panorama,2.333,1.799
pantorrilla,0.133,2.066
paraplejico,-5,1.363
parcela,0.867,2.446
pared,0.933,1.624
parto,1.333,2.769
pasajero,1.733,1.981
pasaporte,1.333,3.132
pato,2.267,3.173
patriotismo,-3.4,2.165
pausa,2.867,2.669
pauta,0.933,1.944
paz,4.467,1.995
pedagogia,2.467,2.973
pelota,2.133,1.767
pensamiento,3.6,2.261
pensionado,0.267,1.71
periodico,0.8,2.111
periodista,0.867,1.885
periquito,1.267,2.939
permiso,0.133,2.326
perro,2.8,3.121
persona,2.733,2.374
pez,2.533,2.326
piano,3.2,1.699
piedra,0.2,2.077
piel,2.4,2.746
pierna,2.067,1.71
pijama,3.067,2.604
piloto,1.867,2.356
pipa,-0.6,2.746
piscina,3.067,2.017
piso,1.533,2.326
pista,1.067,1.387
plaga,-4.733,1.28
planeta,3.667,2.526
planta,1.733,2.576
poni,1.467,3.159
porteria,0.6,1.844
portero,0.867,1.642
prado,4.133,2.031
prensa,0.867,2.264
presidente,0.667,1.952
principe,-1.533,3.543
profesion,2.2,2.757
profesor,2.933,1.944
propietario,1.333,3.754
protagonista,2.333,1.839
publico,2.067,1.668
puente,2.867,1.685
puerto,2.667,2.289
pulmon,1.933,2.219
puntilla,0,1.464
quimico,2.933,1.71
radio,2.733,2.12
raiz,2.867,2.295
rascacielos,2.467,1.506
raton,0,3.024
razon,3.467,2.232
receptor,0.933,2.576
recostarse,3.133,1.885
reflectante,0.667,2.498
regla,0.867,2.532
reina,-1.667,2.895
relacion,2.933,1.58
relajarse,4.067,1.534
reloj,1.467,2.615
reportero,1.533,2.031
resolucion,1.067,2.685
respiracion,3.6,2.063
restaurante,3.4,1.844
reunion,1.533,1.846
revista,1.267,2.086
rio,3.467,1.922
roca,0.667,2.024
roce,2.133,2.997
ruta,2.667,2.32
sabana,2.2,1.74
saliva,0.8,2.883
salmon ,2.867,2.475
sardina,2.333,2.38
semilla,3.533,1.995
senal,0.667,1.988
sensacion,3.2,2.007
sensibilidad,2.933,2.12
ser,2.533,2.386
sida,-5.6,1.056
siesta,3.133,2.973
silencioso,2.733,2.52
sillon,3.533,2.2
simposio,1.533,2.2
soberano,-2.867,2.416
socio,2.6,2.131
sol,4.2,1.656
solarium,2.133,2.2
sonido,2.267,1.87
sopa,2.667,1.799
soplo,0.267,2.789
sotano,-0.8,3.144
suelo,1.4,1.502
sueno,2.8,3.167
sufrimiento,-5.133,1.125
suicida,-5.533,0.915
sujeto,-0.267,1.792
superficie,1.133,2.264
tabla,0.867,1.302
teatro,3.2,2.007
tecnico,0.933,1.71
tejado,1.333,2.16
temperatura,1.533,2.232
templado,3,1.852
terciopelo,2.867,2.9
terminal,1.467,3.159
terreno,1.4,2.694
terrorista,-5.333,2.582
texto,1.2,1.781
textura,1.867,1.959
tierra,3.667,2.717
tijeras,1,2.171
tipo,0.4,2.293
titulo,1.933,2.738
tobillo,0.6,2.23
tono,0.6,2.131
torneo,1.733,2.086
tornillo,0.467,1.995
torre,2.2,1.897
tortuga,2.4,2.667
trabajo,1.933,2.963
tractor,1.933,2.344
trafico,-3.4,2.261
traidor,-4.133,2.85
trama,2.267,2.314
transaccion,0.867,3.091
transferencia,1.4,2.874
transmission,-2.2,2.808
tranvia,2.067,2.187
trastero,0.2,2.484
tren,2.8,2.305
tribuna,1.133,2.722
trigo,1.933,2.086
trineo,2.667,1.952
trucha,1.133,2.446
tuerca,0.2,2.597
tumor,-5.867,0.352
uniforme,0.467,2.532
universidad,3.4,2.694
universo,3.867,2.167
vaho,0.667,2.38
vapor,2.333,1.839
velo,-0.467,2.748
ventana,2.4,1.298
ventilacion,3.067,1.792
vestido,2.333,2.469
viaje,4.2,2.178
vibracion,0.867,2.446
vida,5.067,1.624
video,2.2,3.028
viento,2,3.094
violacion,-5.533,0.915
visado,-0.867,3.067
vision,2.4,2.473
visitante,2.733,1.981
vista,2.6,2.444
vivienda,2.867,2.588
vocacion,4.133,2.1
volumen,1.333,1.988
voz,2.467,1.767